student_id,student_gender,student_age,course_name,watch_time,duration_sec,engagement,timestamp,source_file,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,_source_file,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level,first_name,last_name,score,hours_studied,assignments_completed,participation,metadata,transcript
StudentsPerformance.csv_0,female,,,,,,,StudentsPerformance.csv,group B,bachelor's degree,standard,none,72.0,72.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_1,female,,,,,,,StudentsPerformance.csv,group C,some college,standard,completed,69.0,90.0,88.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_2,female,,,,,,,StudentsPerformance.csv,group B,master's degree,standard,none,90.0,95.0,93.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_3,male,,,,,,,StudentsPerformance.csv,group A,associate's degree,free/reduced,none,47.0,57.0,44.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_4,male,,,,,,,StudentsPerformance.csv,group C,some college,standard,none,76.0,78.0,75.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_5,female,,,,,,,StudentsPerformance.csv,group B,associate's degree,standard,none,71.0,83.0,78.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_6,female,,,,,,,StudentsPerformance.csv,group B,some college,standard,completed,88.0,95.0,92.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_7,male,,,,,,,StudentsPerformance.csv,group B,some college,free/reduced,none,40.0,43.0,39.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_8,male,,,,,,,StudentsPerformance.csv,group D,high school,free/reduced,completed,64.0,64.0,67.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_9,female,,,,,,,StudentsPerformance.csv,group B,high school,free/reduced,none,38.0,60.0,50.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_10,male,,,,,,,StudentsPerformance.csv,group C,associate's degree,standard,none,58.0,54.0,52.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_11,male,,,,,,,StudentsPerformance.csv,group D,associate's degree,standard,none,40.0,52.0,43.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_12,female,,,,,,,StudentsPerformance.csv,group B,high school,standard,none,65.0,81.0,73.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_13,male,,,,,,,StudentsPerformance.csv,group A,some college,standard,completed,78.0,72.0,70.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_14,female,,,,,,,StudentsPerformance.csv,group A,master's degree,standard,none,50.0,53.0,58.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_15,female,,,,,,,StudentsPerformance.csv,group C,some high school,standard,none,69.0,75.0,78.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_16,male,,,,,,,StudentsPerformance.csv,group C,high school,standard,none,88.0,89.0,86.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_17,female,,,,,,,StudentsPerformance.csv,group B,some high school,free/reduced,none,18.0,32.0,28.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_18,male,,,,,,,StudentsPerformance.csv,group C,master's degree,free/reduced,completed,46.0,42.0,46.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_19,female,,,,,,,StudentsPerformance.csv,group C,associate's degree,free/reduced,none,54.0,58.0,61.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_20,male,,,,,,,StudentsPerformance.csv,group D,high school,standard,none,66.0,69.0,63.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_21,female,,,,,,,StudentsPerformance.csv,group B,some college,free/reduced,completed,65.0,75.0,70.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_22,male,,,,,,,StudentsPerformance.csv,group D,some college,standard,none,44.0,54.0,53.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_23,female,,,,,,,StudentsPerformance.csv,group C,some high school,standard,none,69.0,73.0,73.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_24,male,,,,,,,StudentsPerformance.csv,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_25,male,,,,,,,StudentsPerformance.csv,group A,master's degree,free/reduced,none,73.0,74.0,72.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_26,male,,,,,,,StudentsPerformance.csv,group B,some college,standard,none,69.0,54.0,55.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_27,female,,,,,,,StudentsPerformance.csv,group C,bachelor's degree,standard,none,67.0,69.0,75.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_28,male,,,,,,,StudentsPerformance.csv,group C,high school,standard,none,70.0,70.0,65.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_29,female,,,,,,,StudentsPerformance.csv,group D,master's degree,standard,none,62.0,70.0,75.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_30,female,,,,,,,StudentsPerformance.csv,group D,some college,standard,none,69.0,74.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_31,female,,,,,,,StudentsPerformance.csv,group B,some college,standard,none,63.0,65.0,61.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_32,female,,,,,,,StudentsPerformance.csv,group E,master's degree,free/reduced,none,56.0,72.0,65.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_33,male,,,,,,,StudentsPerformance.csv,group D,some college,standard,none,40.0,42.0,38.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_34,male,,,,,,,StudentsPerformance.csv,group E,some college,standard,none,97.0,87.0,82.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_35,male,,,,,,,StudentsPerformance.csv,group E,associate's degree,standard,completed,81.0,81.0,79.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_36,female,,,,,,,StudentsPerformance.csv,group D,associate's degree,standard,none,74.0,81.0,83.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_37,female,,,,,,,StudentsPerformance.csv,group D,some high school,free/reduced,none,50.0,64.0,59.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_38,female,,,,,,,StudentsPerformance.csv,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_39,male,,,,,,,StudentsPerformance.csv,group B,associate's degree,free/reduced,none,57.0,56.0,57.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_40,male,,,,,,,StudentsPerformance.csv,group C,associate's degree,free/reduced,none,55.0,61.0,54.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_41,female,,,,,,,StudentsPerformance.csv,group C,associate's degree,standard,none,58.0,73.0,68.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_42,female,,,,,,,StudentsPerformance.csv,group B,associate's degree,standard,none,53.0,58.0,65.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_43,male,,,,,,,StudentsPerformance.csv,group B,some college,free/reduced,completed,59.0,65.0,66.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_44,female,,,,,,,StudentsPerformance.csv,group E,associate's degree,free/reduced,none,50.0,56.0,54.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_45,male,,,,,,,StudentsPerformance.csv,group B,associate's degree,standard,none,65.0,54.0,57.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_46,female,,,,,,,StudentsPerformance.csv,group A,associate's degree,standard,completed,55.0,65.0,62.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
